# Gene Family	demo_Abundance-RPKs
UniRef90_R5AZS3	42.5977658724
UniRef90_R5AZS3|unclassified	42.5977658724
UniRef90_A0A3E5HUD6	42.5080357285
UniRef90_A0A3E5HUD6|unclassified	42.5080357285
UniRef90_A0A173Y2V6	42.3898206683
UniRef90_A0A173Y2V6|unclassified	42.3898206683
UniRef90_A0A174PBA4	42.3247105873
UniRef90_A0A174PBA4|unclassified	42.3247105873
UniRef90_A0A174BHM8	42.3136250299
UniRef90_A0A174BHM8|unclassified	42.3136250299
UniRef90_R5AWM0	42.2623931460
UniRef90_R5AWM0|unclassified	42.2623931460
UniRef90_R6JNQ2	42.2318582382
UniRef90_R6JNQ2|unclassified	42.2318582382
UniRef90_R5B353	42.2293573188
UniRef90_R5B353|unclassified	42.2293573188
UniRef90_D6CY43	42.2178232619
UniRef90_D6CY43|unclassified	42.2178232619
UniRef90_R5BCL4	42.1078705482
UniRef90_R5BCL4|unclassified	42.1078705482
UniRef90_W6PCV4	42.0394069717
UniRef90_W6PCV4|unclassified	42.0394069717
UniRef90_A0A174BQR0	42.0268143859
